,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(22).1031,1.7724569471641753,0.18778140639734248,1.436861129179322,1.6398233798311983,1.7615866834233973,1.8935640810168406,2.17081748952698,0.003697534064578935
a_subj(22).1033,2.1671265244860725,0.2000524715521239,1.7960519452808716,2.028003278374502,2.1595952356687267,2.297663168625772,2.5765762749241077,0.0031280599057067426
a_subj(22).1035,2.1057970697146495,0.1943863619826724,1.7525770170420767,1.971038153327036,2.0968000332789507,2.229805238264355,2.5173087293125014,0.0027165642959970098
a_subj(22).1041,1.730240982746891,0.18459694584061198,1.3918397326566692,1.6002294744694159,1.7231683709691703,1.8509149361458412,2.116401025033075,0.003509460543192236
a_subj(22).1043,2.131704491625535,0.20956631699413278,1.7511561144231285,1.986524819198975,2.1210013968810317,2.267404876766949,2.569537847805871,0.0030621570177197565
a_subj(22).1045,2.0849182911104474,0.20567281961095427,1.7156098933293362,1.941777178148214,2.0766954667778226,2.2143763371858385,2.5120763849180716,0.0033914701438381182
v(11),0.39706004188587896,0.033303782915123176,0.3326313617438507,0.37479958230186133,0.3968416651234604,0.41921422700369865,0.4623378574157476,0.0005226924374482447
v(22),1.0096278097470317,0.04021201895444791,0.9316905651973117,0.9821480107895209,1.0093754230576129,1.036337445047221,1.0888659947640833,0.0008911048234107029
v_std,0.23704695146340224,0.02561226761051714,0.18958449168394853,0.2195489527286073,0.23615575371579248,0.2543292036302628,0.2888045834119193,0.0007260755570829981
v_subj(11).15,0.38678185971489604,0.15408017311683395,0.08255002644155385,0.2817391508519289,0.38558571072736525,0.4913832913654662,0.6918760730734516,0.0014631264423042288
v_subj(11).16,0.7876849231466151,0.1633174388358329,0.4790667486692243,0.6778526295660282,0.7853460640671274,0.8953392458517615,1.1154492426038014,0.002193619097408557
