subj_idx,response,rt_Org,rt,group
30,0,2578,2.578,11
30,0,0,0,11
30,0,0,0,11
30,0,0,0,40
30,1,2939,2.939,11
30,0,4275,4.275,11
30,0,3747,3.747,11
30,1,2612,2.612,11
30,1,3428,3.428,11
30,1,2556,2.556,11
34,0,0,0,50
34,1,1460,1.46,22
34,1,1779,1.779,22
34,0,0,0,22
34,1,1044,1.044,22
34,0,0,0,22
34,1,1461,1.461,22
34,0,0,0,40
34,0,0,0,11
34,1,4614,4.614,11
34,0,2430,2.43,11
34,1,2782,2.782,11
34,1,2991,2.991,11
34,1,4095,4.095,11
34,0,0,0,50
34,0,1488,1.488,22
34,0,0,0,22
34,1,1184,1.184,22
34,1,1577,1.577,22
34,0,0,0,22
34,0,0,0,22
34,0,0,0,50
34,1,1069,1.069,22
34,1,1182,1.182,22
34,1,1142,1.142,22
34,0,0,0,22
34,0,1464,1.464,22
34,1,1168,1.168,22
34,0,0,0,50
34,1,1401,1.401,22
34,1,2057,2.057,22
34,1,1930,1.93,22
34,1,1419,1.419,22
34,0,0,0,22
34,1,1308,1.308,22
34,0,0,0,40
34,1,1741,1.741,11
34,1,2510,2.51,11
34,0,1742,1.742,11
34,0,3087,3.087,11
34,1,168,0.168,11
34,1,3248,3.248,11
34,0,0,0,40
34,0,4121,4.121,11
34,1,1945,1.945,11
34,1,2849,2.849,11
34,1,1858,1.858,11
34,0,0,0,11
34,1,3434,3.434,11
34,0,0,0,40
34,1,3435,3.435,11
34,1,4051,4.051,11
34,0,4868,4.868,11
34,1,2996,2.996,11
34,1,2716,2.716,11
34,1,2404,2.404,11
34,0,0,0,50
34,1,1509,1.509,22
34,0,957,0.957,22
34,1,1237,1.237,22
34,1,1718,1.718,22
34,1,1046,1.046,22
34,1,1158,1.158,22
34,0,0,0,40
34,1,2311,2.311,11
34,1,2215,2.215,11
34,1,4760,4.76,11
34,0,2664,2.664,11
34,1,1976,1.976,11
34,0,2505,2.505,11
36,0,0,0,40
36,1,2217,2.217,11
36,1,2281,2.281,11
36,1,1953,1.953,11
36,1,2497,2.497,11
36,1,2153,2.153,11
