,0
v_subj(11).38,0.999971110093452
v_subj(11).40,1.0000094893928344
v_subj(11).42,0.999990363520372
v_subj(11).44,1.0000026757946887
v_subj(11).46,0.9999943254005736
v_subj(11).48,1.0000701241032817
v_subj(11).50,0.9999778760553297
v_subj(11).52,0.9999951592575308
v_subj(11).57,1.0000041375977238
v_subj(11).59,0.9999976514335557
v_subj(11).63,1.000013133891407
v_subj(11).72,0.9999791016991854
v_subj(11).79,1.0000264627854234
v_subj(11).83,1.000075738314394
v_subj(11).87,1.000001568466532
v_subj(11).92,0.9999957586522987
v_subj(11).94,0.9999936617808057
v_subj(11).95,0.9999913082151102
v_subj(11).97,1.000010614481528
v_subj(11).100,0.9999828349389434
v_subj(11).105,1.000020251712118
v_subj(11).107,1.0000159114556981
v_subj(11).108,0.9999977518959611
v_subj(11).109,0.9999924738280876
v_subj(11).112,1.0000126333234658
v_subj(11).117,1.0000340575647793
v_subj(11).118,1.0000856385630792
v_subj(11).119,0.9999749843504573
v_subj(11).121,1.0000005317077643
v_subj(11).123,1.00007378064223
v_subj(11).126,0.9999820157149032
v_subj(11).130,0.999997832029462
v_subj(11).131,1.0000190960452138
v_subj(11).134,0.9999867192323101
v_subj(11).135,1.0000046273328196
v_subj(11).136,1.0000115063960002
v_subj(11).142,1.0000100072050366
v_subj(11).145,1.0000132152030154
v_subj(11).146,0.9999775490054393
v_subj(11).148,1.0000145750253175
v_subj(11).152,1.000001467218048
v_subj(11).154,0.9999896848189135
v_subj(11).155,1.000000618512247
v_subj(11).157,0.999992389380224
v_subj(11).159,1.0000029924275302
v_subj(11).161,1.000011897794479
v_subj(11).176,1.0000161377248344
v_subj(11).178,1.0000089582838558
v_subj(11).179,1.000032892673585
v_subj(11).181,1.0000202142750172
v_subj(11).183,1.0000023991565867
v_subj(11).184,0.9999931692837081
v_subj(11).186,1.0000725833773805
v_subj(11).189,1.0000073643596892
v_subj(11).193,1.0000048257691305
v_subj(11).194,0.9999774371643948
v_subj(11).196,1.000041691173748
v_subj(11).1001,0.9999819846922023
v_subj(11).1003,0.9999910715377195
v_subj(11).1007,0.9999827777631021
v_subj(11).1009,1.0000676953580294
v_subj(11).1015,0.9999743014231592
v_subj(11).1017,0.9999747570455438
v_subj(11).1021,1.0000719099145303
v_subj(11).1025,0.9999852848503119
v_subj(11).1027,1.0000436706225642
v_subj(11).1029,0.9999791423144857
v_subj(11).1031,1.0000018747176158
v_subj(11).1033,1.0000672388580065
v_subj(11).1035,1.0000533792504631
v_subj(11).1041,1.0000351314164462
v_subj(11).1043,1.0000387551935448
v_subj(11).1045,1.0000224543368346
v_subj(22).15,1.0000120285413974
v_subj(22).16,1.0000600685935628
v_subj(22).17,1.0000518825482043
v_subj(22).19,1.000041990258351
v_subj(22).24,0.9999927681973778
v_subj(22).26,0.9999857867745245
v_subj(22).28,1.000033548353271
v_subj(22).30,1.0000328105259997
v_subj(22).34,0.9999976947796692
v_subj(22).36,0.9999996263766041
v_subj(22).38,0.9999621738149959
v_subj(22).40,1.0000025846815446
v_subj(22).42,1.0000134282714943
v_subj(22).44,1.0000402258336405
v_subj(22).46,1.0000067202158809
v_subj(22).48,0.9999923834193191
v_subj(22).50,1.0000545072733154
v_subj(22).52,0.9999999954724313
v_subj(22).57,1.0000849081903933
v_subj(22).59,1.000028833228334
v_subj(22).63,1.00000300279854
v_subj(22).72,1.0000507419065292
v_subj(22).79,0.9999962276705128
v_subj(22).83,1.000069574155988
v_subj(22).87,1.0000243171163874
